id,hhid,Общее телесмотрение,Телесмотрение ночью,Телесмотрение утром,Телесмотрение в рабочее время,Телесмотрение в вечернее время,Телесмотрение в прайм тайм,Общее телесмотрение Пн-Пт,Телесмотрение ночью Пн-Пт,Телесмотрение утром Пн-Пт,Телесмотрение в рабочее время Пн-Пт,Телесмотрение в вечернее время Пн-Пт,Телесмотрение в прайм тайм Пн-Пт,Общее телесмотрение в выходные,Телесмотрение ночью в выходные,Телесмотрение утром в выходные,Телесмотрение в рабочее время в выходные,Телесмотрение вечером в выходные,Телесмотрение в прайм тайм в выходные,Просмотр жанра кино в рабочее время,Просмотр жанра кино в праздники,Просмотр жанра приключения в рабочее время,Просмотр жанра приключение в праздники,Просмотра жанра сад в рабочее время,Просмотр жанра сад в праздники,Просмотра жанра комедия в рабочее время,Просмотр жанра комедия в праздники,Просмотр жанра хоби в рабочее время,Просмотр жанра хобби в праздники,Просмотр жанра спорт в рабочее время,Просмотр жанра спорт в праздники,Просмотр жанра музыка в рабочее время,Просмотр жанра музыка в праздники,Просмотр жанра образования в рабочее время,Просмотр жанра образование в праздники,Размер ДХ,Тип ресивера,Оператор,Есть ли Интернет,Состав ДХ,ФО,Тип нас.пункта,Почтовый индекс
0,3348,647,437,15.0,12,120,63,195.0,0,0,12,120,63,452,437,15,0,0,0,0,414,0,0,0,1,0,0,0,21,0,0,0,0,0,1,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Западный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,182180
1,4182,2657,538,363.0,1582,174,0,415.0,133,0,282,0,0,2242,405,363,1300,174,0,4,67,0,30,26,3,0,108,103,91,0,0,0,0,1,109,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Уральский федеральный округ,Город с численностью менее 45 тыс.,457024
2,1233,1385,0,49.0,1134,202,0,729.0,0,49,571,109,0,656,0,0,563,93,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город более 400 тыс.,350901
3,4813,2861,607,857.0,1374,23,0,1249.0,294,270,662,23,0,1612,313,587,712,0,0,115,116,16,12,4,0,75,0,75,22,59,0,0,0,11,11,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,452774
4,1782,478,174,44.0,53,79,128,260.0,0,0,53,79,128,218,174,44,0,0,0,0,0,0,0,62,13,0,0,0,173,0,0,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Западный федеральный округ,Сельский населенный пункт,168068
5,5489,1119,105,251.0,751,12,0,761.0,18,92,639,12,0,358,87,159,112,0,0,0,3,0,0,2,0,0,0,2,84,0,0,0,0,16,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город более 400 тыс.,390035
6,4378,1571,253,495.0,823,0,0,790.0,56,376,358,0,0,781,197,119,465,0,0,3,2,5,62,0,0,0,0,7,64,2,0,24,82,39,69,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,462811
7,3839,1083,0,68.0,812,165,38,850.0,0,68,585,159,38,233,0,0,227,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,606860
8,5073,934,9,124.0,330,426,45,232.0,9,93,0,116,14,702,0,31,330,310,31,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Западный федеральный округ,Город с численностью менее 45 тыс.,238750
9,5171,274,2,0.0,272,0,0,0.0,0,0,0,0,0,274,2,0,272,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,152470
10,5145,426,1,36.0,350,39,0,0.0,0,0,0,0,0,426,1,36,350,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,412043
11,4663,44,0,0.0,44,0,0,0.0,0,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Северо-Западный федеральный округ,Сельский населенный пункт,161575
12,4232,841,208,182.0,451,0,0,655.0,206,182,267,0,0,186,2,0,184,0,0,157,0,23,0,1,0,2,0,1,2,0,0,0,0,20,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Уральский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,622052
13,5209,113,0,0.0,76,37,0,113.0,0,0,76,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,396670
14,3955,1994,383,96.0,1419,96,0,925.0,262,0,627,36,0,1069,121,96,792,60,0,0,0,52,0,0,0,0,0,74,14,0,0,0,0,2,1,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Сибирский федеральный округ,Сельский населенный пункт,662342
15,5008,1267,13,176.0,720,215,143,455.0,0,99,265,91,0,812,13,77,455,124,143,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,214019
16,4228,965,184,215.0,566,0,0,645.0,115,162,368,0,0,320,69,53,198,0,0,94,19,0,0,5,0,1,0,0,14,0,0,0,0,0,29,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,445004
17,4224,4061,233,595.0,2369,602,262,2052.0,154,361,1108,240,189,2009,79,234,1261,362,73,36,0,0,0,0,31,5,48,1,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город более 400 тыс.,394029
18,1484,287,0,114.0,100,66,7,284.0,0,114,97,66,7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город более 400 тыс.,241022
19,1142,40,0,0.0,0,0,40,40.0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,404113
20,4080,5029,949,437.0,2371,423,849,2153.0,508,115,947,228,355,2876,441,322,1424,195,494,180,3,204,125,0,0,1,0,109,132,1,6,0,0,12,132,1.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Сибирский федеральный округ,Город с численностью менее 45 тыс.,662340
21,4930,1619,0,22.0,1165,227,205,468.0,0,0,468,0,0,1151,0,22,697,227,205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,426010
